PO Number,Order Date,Supplier,Supplier Country,Item No,Qty Ordered,Unit Cost,Freight,Duty,Ship To,Promised Date,Received Date,Qty Received
PO-202606-0041,2026-06-02,Volt Distribution Co,USA,BW200110,122,131.13,2.62,0.00,200410,2026-06-11,2026-06-11,122
PO-202606-0042,2026-05-31,Anhui Wire & Cable,China,BW311500,344,159.80,9.59,4.00,200440,2026-07-02,2026-07-02,344
PO-202606-0043,2026-06-03,Volt Distribution Co,USA,BW422031,161,6.39,0.13,0.00,200420,2026-06-12,2026-06-12,161
PO-202606-0044,2026-06-06,Meridian Electrical Supply,Mexico,BW533100,306,2.00,0.07,0.02,200430,2026-06-20,2026-06-20,306
PO-202606-0045,2026-06-05,Meridian Electrical Supply,Mexico,BW645210,243,25.86,0.91,0.26,200430,2026-06-19,2026-06-19,243
PO-202607-0046,2026-07-02,Volt Distribution Co,USA,BW200115,85,184.61,3.69,0.00,200410,2026-07-11,2026-07-11,85
PO-202607-0047,2026-07-05,Meridian Electrical Supply,Mexico,BW311220,195,8.50,0.30,0.09,200430,2026-07-19,2026-07-19,176
PO-202607-0048,2026-07-07,Meridian Electrical Supply,Mexico,BW311240,258,20.54,0.72,0.21,200430,2026-07-21,2026-07-21,232
PO-202607-0049,2026-06-30,Anhui Wire & Cable,China,BW422045,437,9.44,0.57,0.24,200450,2026-08-01,2026-08-07,437
PO-202607-0050,2026-06-30,Anhui Wire & Cable,China,BW422900,425,2.55,0.15,0.06,200450,2026-08-01,2026-08-06,425
PO-202608-0051,2026-08-02,Volt Distribution Co,USA,BW200110,73,132.53,2.65,0.00,200410,2026-08-11,2026-08-11,73
PO-202608-0052,2026-08-02,Volt Distribution Co,USA,BW311500,142,156.93,3.14,0.00,200410,2026-08-11,2026-08-11,142
PO-202608-0053,2026-08-03,Volt Distribution Co,USA,BW422031,173,6.47,0.13,0.00,200420,2026-08-12,2026-08-12,173
PO-202608-0054,2026-08-04,Meridian Electrical Supply,Mexico,BW533100,242,2.00,0.07,0.02,200430,2026-08-18,2026-08-18,242
PO-202608-0055,2026-08-15,Volt Distribution Co,USA,BW645210,57,26.77,0.54,0.00,200450,2026-08-24,2026-08-29,57
PO-202609-0056,2026-09-03,Meridian Electrical Supply,Mexico,BW200115,203,188.67,6.60,1.89,200420,2026-09-17,,
PO-202609-0057,2026-09-02,Volt Distribution Co,USA,BW311220,127,8.45,0.17,0.00,200410,2026-09-11,2026-09-11,127
PO-202609-0058,2026-09-02,Volt Distribution Co,USA,BW311240,145,20.27,0.41,0.00,200410,2026-09-11,2026-09-11,145
PO-202609-0059,2026-09-05,Meridian Electrical Supply,Mexico,BW422045,266,9.31,0.33,0.09,200430,2026-09-19,,
PO-202609-0060,2026-09-06,Meridian Electrical Supply,Mexico,BW422900,252,2.51,0.09,0.03,200430,2026-09-20,,
