Item No,Item Description,Invoice Date,Qty Shipped,Net Price,Unit Cost,Bill To,Whse
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-07,174,10.90,6.92,Sable Creek Refining,100959
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-08-07,22,73.74,62.80,Westport Unified Schools,100349
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-08-07,23,78.86,62.80,Northgate Property Group,100933
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-07,231,3.58,2.35,Sable Creek Refining,100047
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-07,379,3.08,2.35,Brightwater Facilities,100649
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-07,74,14.96,11.40,Northgate Property Group,100933
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-07,115,12.73,8.15,Brightwater Facilities,100812
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,2024-08-08,1,414.35,281.40,Grayson HVAC Services,100205
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-08,93,30.74,19.10,Northgate Property Group,100349
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-08,102,28.51,19.10,Brightwater Facilities,100649
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-08,178,7.12,4.60,Westport Unified Schools,100117
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-08,394,5.58,4.60,Brightwater Facilities,100205
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-08,64,6.25,4.60,Halloran Mechanical,100205
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-08,255,5.76,4.60,Vance & Sons Plumbing,100571
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-08,304,10.48,6.92,Northgate Property Group,100047
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-08,63,10.27,6.92,Halloran Mechanical,100649
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-08,40,140.52,97.50,Walk-in,100047
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-08,17,136.75,97.50,Westport Unified Schools,100349
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-08,337,2.91,2.35,Brightwater Facilities,100117
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-08,384,3.37,2.35,Brightwater Facilities,100571
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-08,55,10.62,8.15,Halloran Mechanical,100205
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-08,71,9.83,8.15,Sable Creek Refining,100933
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-08,119,9.45,8.15,Walk-in,100959
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,2024-08-09,6,359.18,281.40,Walk-in,100047
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-09,40,23.93,19.10,Grayson HVAC Services,100571
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-09,40,24.30,19.10,Grayson HVAC Services,100933
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-09,195,1.97,1.72,Tidewater Mechanical,100117
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-09,250,6.97,4.60,Sable Creek Refining,100117
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-09,252,5.48,4.60,Tidewater Mechanical,100349
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-09,66,7.11,4.60,Kestrel Construction LLC,100571
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-09,252,6.21,4.60,Tidewater Mechanical,100812
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-09,264,6.56,4.60,Orion Municipal Works,100933
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-09,77,8.99,6.92,Grayson HVAC Services,100117
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-09,79,10.42,6.92,Grayson HVAC Services,100205
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-09,322,9.70,6.92,Cortland Fire Protection,100812
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-09,321,10.77,6.92,Cortland Fire Protection,100959
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-09,26,117.87,97.50,Vance & Sons Plumbing,100571
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-09,12,134.82,97.50,Halloran Mechanical,100959
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-08-09,6,82.16,62.80,Ridgeline Plumbing Co.,100349
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-09,135,3.72,2.35,Ridgeline Plumbing Co.,100812
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-09,315,3.10,2.35,Cortland Fire Protection,100933
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-09,136,2.97,2.35,Ridgeline Plumbing Co.,100959
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-09,26,15.55,11.40,Ridgeline Plumbing Co.,100349
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-09,81,14.42,11.40,Cortland Fire Protection,100812
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-10,109,27.72,19.10,Halloran Mechanical,100933
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-10,267,2.18,1.72,Northgate Property Group,100117
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-10,279,2.38,1.72,Vance & Sons Plumbing,100205
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-10,267,5.50,4.60,Sable Creek Refining,100047
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-10,278,6.74,4.60,Vance & Sons Plumbing,100649
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-10,209,7.29,4.60,Northgate Property Group,100959
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-10,209,8.02,6.92,Northgate Property Group,100047
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-10,75,10.15,6.92,Kestrel Construction LLC,100649
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-08-10,13,75.95,62.80,Ridgeline Plumbing Co.,100812
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-10,283,2.72,2.35,Orion Municipal Works,100047
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-10,107,13.38,11.40,Kestrel Construction LLC,100047
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-10,30,14.49,11.40,Delta Ridge Industrial,100117
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-10,64,11.25,8.15,Tidewater Mechanical,100349
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-10,61,10.57,8.15,Tidewater Mechanical,100933
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,2024-08-10,5,2337.43,1455.00,Northgate Property Group,100571
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-11,103,2.25,1.72,Delta Ridge Industrial,100117
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-11,99,2.40,1.72,Grayson HVAC Services,100933
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-11,97,6.64,4.60,Delta Ridge Industrial,100117
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-11,98,5.93,4.60,Delta Ridge Industrial,100933
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-11,345,5.51,4.60,Vance & Sons Plumbing,100959
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-11,14,136.04,97.50,Delta Ridge Industrial,100349
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-12,283,2.23,1.72,Sable Creek Refining,100047
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-12,115,2.41,1.72,Grayson HVAC Services,100349
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-12,111,2.28,1.72,Grayson HVAC Services,100571
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-12,281,2.57,1.72,Sable Creek Refining,100933
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-12,170,7.15,4.60,Fairmont Health System,100349
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-12,110,6.11,4.60,Grayson HVAC Services,100812
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-12,102,5.48,4.60,Ridgeline Plumbing Co.,100933
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-12,233,11.11,6.92,Northgate Property Group,100349
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-12,297,8.27,6.92,Vance & Sons Plumbing,100933
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-12,9,141.81,97.50,Ridgeline Plumbing Co.,100571
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-12,229,3.52,2.35,Fairmont Health System,100047
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-12,236,3.74,2.35,Northgate Property Group,100117
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-12,92,15.97,11.40,Orion Municipal Works,100571
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-12,48,17.56,11.40,Walk-in,100933
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-12,31,16.80,11.40,Ridgeline Plumbing Co.,100959
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-12,37,11.00,8.15,Fairmont Health System,100933
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-13,34,22.94,19.10,Halloran Mechanical,100349
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-13,364,2.76,1.72,Brightwater Facilities,100117
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-13,303,2.26,1.72,Northgate Property Group,100649
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-13,292,7.28,4.60,Northgate Property Group,100205
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-13,390,10.84,6.92,Ridgeline Plumbing Co.,100047
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-13,399,8.36,6.92,Halloran Mechanical,100933
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-08-13,40,88.94,62.80,Ridgeline Plumbing Co.,100649
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-08-13,40,86.20,62.80,Halloran Mechanical,100933
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-13,108,17.43,11.40,Vance & Sons Plumbing,100349
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-13,52,16.78,11.40,Ridgeline Plumbing Co.,100649
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,2024-08-14,2,433.32,281.40,Halloran Mechanical,100812
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-14,113,26.95,19.10,Kestrel Construction LLC,100047
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-14,306,7.01,4.60,Vance & Sons Plumbing,100571
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-14,136,10.62,6.92,Westport Unified Schools,100205
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-14,196,8.51,6.92,Westport Unified Schools,100349
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-14,65,7.91,6.92,Grayson HVAC Services,100959
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,2024-08-14,38,125.81,97.50,Kestrel Construction LLC,100047
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-08-14,25,85.46,62.80,Vance & Sons Plumbing,100349
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-14,121,3.29,2.35,Grayson HVAC Services,100047
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-14,307,2.90,2.35,Vance & Sons Plumbing,100117
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-14,64,2.78,2.35,Halloran Mechanical,100205
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-14,127,3.01,2.35,Halloran Mechanical,100933
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-14,113,9.80,8.15,Kestrel Construction LLC,100349
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-14,38,12.86,8.15,Grayson HVAC Services,100933
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,2024-08-14,99,11.36,8.15,Kestrel Construction LLC,100959
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,2024-08-14,2,1785.29,1455.00,Westport Unified Schools,100571
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-15,24,24.47,19.10,Grayson HVAC Services,100047
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,2024-08-15,43,27.80,19.10,Delta Ridge Industrial,100812
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-15,201,2.06,1.72,Westport Unified Schools,100047
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-15,336,2.71,1.72,Walk-in,100959
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2024-08-15,326,9.88,6.92,Cortland Fire Protection,100205
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,2024-08-15,32,97.19,62.80,Orion Municipal Works,100205
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-15,154,2.73,2.35,Tidewater Mechanical,100117
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-15,150,3.49,2.35,Fairmont Health System,100571
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2024-08-15,146,2.83,2.35,Fairmont Health System,100649
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-15,96,14.26,11.40,Vance & Sons Plumbing,100205
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,2024-08-15,98,15.47,11.40,Cortland Fire Protection,100349
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-16,147,2.17,1.72,Delta Ridge Industrial,100117
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-16,91,2.58,1.72,Ridgeline Plumbing Co.,100205
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2024-08-16,161,2.22,1.72,Fairmont Health System,100649
HRD290145,2 IN PVC DWV SANITARY TEE HUB,2024-08-16,160,7.31,4.60,Fairmont Health System,100205
