Item No,Description,Category,Subcategory,Commodity,List Price,Unit Cost,On Hand,Branch,Supplier,Supplier Cost,Lead Time,UOM
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,,,,,,6,100933,,,,
HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,,,,,,9,100959,,,,
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,,,,,,562,100047,,,,
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,,,,,,937,100117,,,,
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,,,,,,495,100205,,,,
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,,,,,,407,100349,,,,
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,,,,,,378,100571,,,,
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,,,,,,1221,100649,,,,
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,,,,,,533,100812,,,,
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,,,,,,637,100933,,,,
HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,,,,,,437,100959,,,,
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,,,,,,2260,100047,,,,
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,,,,,,3853,100117,,,,
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,,,,,,1827,100205,,,,
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,,,,,,4640,100349,,,,
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,,,,,,3242,100571,,,,
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,,,,,,2418,100649,,,,
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,,,,,,4657,100812,,,,
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,,,,,,4612,100933,,,,
HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,,,,,,2673,100959,,,,
HRD290145,2 IN PVC DWV SANITARY TEE HUB,,,,,,2553,100047,,,,
HRD290145,2 IN PVC DWV SANITARY TEE HUB,,,,,,2448,100117,,,,
HRD290145,2 IN PVC DWV SANITARY TEE HUB,,,,,,5817,100205,,,,
HRD290145,2 IN PVC DWV SANITARY TEE HUB,,,,,,3146,100349,,,,
HRD290145,2 IN PVC DWV SANITARY TEE HUB,,,,,,7142,100571,,,,
HRD290145,2 IN PVC DWV SANITARY TEE HUB,,,,,,5824,100649,,,,
HRD290145,2 IN PVC DWV SANITARY TEE HUB,,,,,,3721,100812,,,,
HRD290145,2 IN PVC DWV SANITARY TEE HUB,,,,,,2933,100933,,,,
HRD290145,2 IN PVC DWV SANITARY TEE HUB,,,,,,1885,100959,,,,
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,,,,,,2554,100047,,,,
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,,,,,,1860,100117,,,,
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,,,,,,3287,100205,,,,
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,,,,,,7304,100349,,,,
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,,,,,,5254,100571,,,,
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,,,,,,5232,100649,,,,
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,,,,,,3030,100812,,,,
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,,,,,,4504,100933,,,,
HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,,,,,,6348,100959,,,,
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,,,,,,78,100047,,,,
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,,,,,,127,100117,,,,
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,,,,,,182,100205,,,,
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,,,,,,110,100349,,,,
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,,,,,,53,100571,,,,
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,,,,,,116,100649,,,,
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,,,,,,142,100812,,,,
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,,,,,,159,100933,,,,
HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,,,,,,70,100959,,,,
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,,,,,,4,100047,,,,
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,,,,,,9,100117,,,,
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,,,,,,5,100205,,,,
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,,,,,,10,100349,,,,
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,,,,,,7,100571,,,,
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,,,,,,14,100649,,,,
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,,,,,,4,100812,,,,
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,,,,,,5,100933,,,,
HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,,,,,,3,100959,,,,
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,,,,,,92,100047,,,,
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,,,,,,81,100117,,,,
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,,,,,,247,100205,,,,
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,,,,,,129,100349,,,,
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,,,,,,89,100571,,,,
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,,,,,,137,100649,,,,
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,,,,,,110,100812,,,,
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,,,,,,79,100933,,,,
HRD512066,1/2 IN x 300FT PEX-B TUBING RED,,,,,,80,100959,,,,
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,,,,,,3846,100047,,,,
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,,,,,,3308,100117,,,,
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,,,,,,4279,100205,,,,
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,,,,,,2012,100349,,,,
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,,,,,,1598,100571,,,,
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,,,,,,2994,100649,,,,
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,,,,,,3143,100812,,,,
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,,,,,,2280,100933,,,,
HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,,,,,,3095,100959,,,,
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,,,,,,600,100047,,,,
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,,,,,,505,100117,,,,
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,,,,,,912,100205,,,,
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,,,,,,1155,100349,,,,
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,,,,,,534,100571,,,,
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,,,,,,946,100649,,,,
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,,,,,,772,100812,,,,
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,,,,,,975,100933,,,,
HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,,,,,,532,100959,,,,
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,,,,,,960,100047,,,,
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,,,,,,407,100117,,,,
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,,,,,,566,100205,,,,
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,,,,,,655,100349,,,,
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,,,,,,750,100571,,,,
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,,,,,,970,100649,,,,
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,,,,,,641,100812,,,,
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,,,,,,695,100933,,,,
HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,,,,,,434,100959,,,,
HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),,,,,,3,100047,,,,
HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),,,,,,22,100117,,,,
HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),,,,,,6,100205,,,,
HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),,,,,,23,100349,,,,
HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),,,,,,17,100571,,,,
HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),,,,,,22,100649,,,,
HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),,,,,,6,100812,,,,
HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),,,,,,26,100933,,,,
HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),,,,,,28,100959,,,,
HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),,,,,,48,100047,,,,
HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),,,,,,224,100117,,,,
HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),,,,,,73,100205,,,,
HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),,,,,,91,100349,,,,
HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),,,,,,23,100571,,,,
HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),,,,,,141,100649,,,,
HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),,,,,,43,100812,,,,
HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),,,,,,72,100933,,,,
HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),,,,,,69,100959,,,,
HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),,,,,,122,100047,,,,
HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),,,,,,94,100117,,,,
HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),,,,,,101,100205,,,,
HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),,,,,,130,100349,,,,
HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),,,,,,178,100571,,,,
HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),,,,,,93,100649,,,,
HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),,,,,,160,100812,,,,
HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),,,,,,138,100933,,,,
HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),,,,,,172,100959,,,,
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,,,,,,6,100047,,,,
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,,,,,,19,100117,,,,
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,,,,,,5,100205,,,,
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,,,,,,10,100349,,,,
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,,,,,,22,100571,,,,
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,,,,,,12,100649,,,,
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,,,,,,21,100812,,,,
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,,,,,,24,100933,,,,
HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,,,,,,11,100959,,,,
HRD551200,3/4 IN THERMOSTATIC MIXING VALVE LEAD FREE,,,,,,126,100047,,,,
HRD551200,3/4 IN THERMOSTATIC MIXING VALVE LEAD FREE,,,,,,63,100117,,,,
HRD551200,3/4 IN THERMOSTATIC MIXING VALVE LEAD FREE,,,,,,62,100205,,,,
HRD551200,3/4 IN THERMOSTATIC MIXING VALVE LEAD FREE,,,,,,66,100349,,,,
HRD551200,3/4 IN THERMOSTATIC MIXING VALVE LEAD FREE,,,,,,89,100571,,,,
HRD551200,3/4 IN THERMOSTATIC MIXING VALVE LEAD FREE,,,,,,150,100649,,,,
HRD551200,3/4 IN THERMOSTATIC MIXING VALVE LEAD FREE,,,,,,67,100812,,,,
HRD551200,3/4 IN THERMOSTATIC MIXING VALVE LEAD FREE,,,,,,71,100933,,,,
HRD551200,3/4 IN THERMOSTATIC MIXING VALVE LEAD FREE,,,,,,80,100959,,,,
HRD551201,50 GAL HEAT PUMP WATER HEATER 240V,,,,,,1,100047,,,,
HRD551201,50 GAL HEAT PUMP WATER HEATER 240V,,,,,,2,100117,,,,
HRD551201,50 GAL HEAT PUMP WATER HEATER 240V,,,,,,2,100205,,,,
HRD551201,50 GAL HEAT PUMP WATER HEATER 240V,,,,,,6,100349,,,,
HRD551201,50 GAL HEAT PUMP WATER HEATER 240V,,,,,,6,100571,,,,
HRD551201,50 GAL HEAT PUMP WATER HEATER 240V,,,,,,4,100649,,,,
HRD551201,50 GAL HEAT PUMP WATER HEATER 240V,,,,,,12,100812,,,,
HRD551201,50 GAL HEAT PUMP WATER HEATER 240V,,,,,,6,100933,,,,
HRD551201,50 GAL HEAT PUMP WATER HEATER 240V,,,,,,11,100959,,,,
